
--------------------------
     File Information
--------------------------
File Name:  103.1.ITOSA5ei_1.pro
File Type:  XPS DEPTHPRO
Comment:  ITOSA5ei

--------------------------
Atomic Concentration Table
--------------------------
Abscissa       C1s        O1s        In3d5      Sn3d5  
               0.314      0.733      4.530      4.890    RSF 
              36.760     68.636    480.452    518.970    CorrectedRSF 
-0.00          35.38      42.48      20.75       1.38  
1.00           13.03      39.79      43.44       3.74  
2.00            0.00      42.06      53.39       4.54  
3.00            0.00      43.75      51.93       4.32  
4.00            0.22      43.57      52.13       4.08  
5.00            0.00      45.15      50.92       3.93  
6.00            2.28      43.62      50.34       3.76  
7.00            0.00      45.46      50.70       3.83  
8.00            0.00      45.74      50.61       3.64  
9.00            2.02      44.95      49.49       3.54  
10.00           2.27      46.38      48.04       3.31  
11.00           0.00      48.01      48.80       3.20  
12.00           0.00      47.99      48.71       3.29  
13.00           0.00      48.32      48.48       3.21  
14.00           0.45      48.69      47.77       3.09  
15.00           0.63      48.76      47.52       3.09  
16.00           2.89      47.72      46.38       3.01  
17.00           1.07      49.36      46.46       3.11  
18.00           4.76      47.63      44.65       2.97  
19.00           0.00      51.09      45.96       2.95  
20.00           0.00      51.00      46.07       2.93  
21.00           7.07      48.15      42.04       2.74  
22.00           0.00      51.14      46.00       2.85  
23.00           0.07      52.30      44.68       2.94  
24.00           2.39      50.59      44.18       2.84  
25.00           2.14      51.78      43.36       2.72  
26.00           0.00      51.95      45.14       2.91  
27.00           0.37      52.09      44.73       2.81  
28.00           0.00      53.19      44.00       2.81  
29.00           0.00      53.17      43.98       2.85  
30.00           0.29      54.18      42.83       2.70  

                2.49      48.07      46.24       3.20    Mean 
                6.67       3.73       5.63       0.60    Standard Deviation 



